epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5056,1.2,2.69338,0.14529,0.61236,0.55646,0.60521,0.31866,1.14973,1.4729,0.13038,0.000332425,0.000332425,0.0670899
2,71.3589,1.08168,1.6105,0.13502,0.68737,0.67751,0.71107,0.36027,1.14697,1.19938,0.1283,0.000665611,0.000665611,0.0340898
3,105.392,1.04824,1.39904,0.13253,0.76136,0.70054,0.78048,0.44696,1.00789,1.07015,0.11885,0.000998205,0.000998205,0.00108903
4,139.336,0.99696,1.22557,0.12769,0.74405,0.72593,0.78224,0.42256,1.12935,1.0531,0.12788,0.000998003,0.000998003,0.000998003
5,172.694,0.96529,1.11916,0.12493,0.74141,0.72702,0.7819,0.45405,0.99457,0.99872,0.11882,0.000996452,0.000996452,0.000996452
6,206.457,0.94259,1.05952,0.12401,0.77414,0.73899,0.79726,0.4613,1.01714,0.93753,0.11964,0.00099446,0.00099446,0.00099446
7,240.328,0.91885,1.01217,0.12192,0.78019,0.76182,0.8138,0.48741,0.95999,0.93185,0.11791,0.000992029,0.000992029,0.000992029
8,274.078,0.90225,0.98348,0.12052,0.8122,0.74769,0.7965,0.46755,0.98334,0.92784,0.11755,0.000989163,0.000989163,0.000989163
9,307.744,0.87782,0.92995,0.11854,0.77955,0.75761,0.79983,0.5224,0.87498,0.87995,0.11136,0.000985862,0.000985862,0.000985862
10,341.485,0.85845,0.88991,0.11745,0.75789,0.75865,0.8045,0.49839,0.9166,0.8926,0.11325,0.000982132,0.000982132,0.000982132
11,375.146,0.84105,0.85644,0.11587,0.82565,0.73381,0.81845,0.4987,0.94154,0.86874,0.11452,0.000977975,0.000977975,0.000977975
12,408.803,0.82832,0.83179,0.11532,0.84171,0.75063,0.82883,0.53062,0.85474,0.81305,0.11048,0.000973396,0.000973396,0.000973396
13,442.815,0.82261,0.83499,0.11476,0.78423,0.76824,0.81538,0.49959,0.94016,0.85038,0.11462,0.000968399,0.000968399,0.000968399
14,476.421,0.80718,0.81105,0.1136,0.8045,0.80233,0.84015,0.51008,0.93906,0.81469,0.11527,0.00096299,0.00096299,0.00096299
15,510.285,0.79441,0.78312,0.11268,0.81788,0.7792,0.83913,0.54657,0.85953,0.79621,0.1116,0.000957172,0.000957172,0.000957172
16,544.014,0.77203,0.76804,0.11095,0.77423,0.79814,0.82539,0.51154,0.92387,0.81495,0.11477,0.000950953,0.000950953,0.000950953
17,577.765,0.7617,0.75115,0.1109,0.80403,0.78978,0.82561,0.53322,0.86117,0.78363,0.11111,0.000944338,0.000944338,0.000944338
18,611.455,0.75676,0.73961,0.11004,0.79746,0.773,0.8175,0.52131,0.87882,0.80906,0.11166,0.000937334,0.000937334,0.000937334
19,645.273,0.74981,0.72216,0.10942,0.82005,0.76871,0.83419,0.53269,0.88908,0.80182,0.11298,0.000929948,0.000929948,0.000929948
20,678.968,0.73272,0.7062,0.10856,0.80228,0.79115,0.83758,0.52942,0.8924,0.77977,0.11368,0.000922186,0.000922186,0.000922186
21,712.69,0.72744,0.69607,0.10775,0.82784,0.75947,0.8268,0.53658,0.84908,0.83399,0.11046,0.000914058,0.000914058,0.000914058
22,746.62,0.7438,0.68942,0.10879,0.80131,0.7848,0.83701,0.53562,0.8532,0.76638,0.11084,0.00090557,0.00090557,0.00090557
23,780.353,0.72152,0.68117,0.10754,0.84082,0.76866,0.83747,0.53659,0.86888,0.74194,0.11194,0.000896731,0.000896731,0.000896731
24,814.027,0.70713,0.66828,0.10664,0.81717,0.78815,0.82851,0.54338,0.8501,0.75286,0.11041,0.00088755,0.00088755,0.00088755
25,847.734,0.69861,0.65924,0.1062,0.85065,0.77259,0.83316,0.54029,0.85102,0.75606,0.11171,0.000878036,0.000878036,0.000878036
26,881.404,0.70041,0.65108,0.10614,0.80514,0.78248,0.82471,0.51187,0.91366,0.76724,0.11505,0.000868198,0.000868198,0.000868198
27,915.171,0.68711,0.64467,0.10534,0.85035,0.77939,0.84704,0.5372,0.88826,0.74808,0.11429,0.000858046,0.000858046,0.000858046
28,948.854,0.69259,0.64671,0.10589,0.78848,0.79306,0.83077,0.52325,0.89319,0.7535,0.1137,0.00084759,0.00084759,0.00084759
29,982.629,0.66958,0.61868,0.10405,0.85341,0.79537,0.8427,0.53663,0.89672,0.72712,0.11402,0.000836841,0.000836841,0.000836841
30,1016.4,0.66117,0.60833,0.10362,0.83128,0.78303,0.83229,0.53455,0.87506,0.7398,0.11369,0.000825808,0.000825808,0.000825808
31,1050.19,0.66437,0.61163,0.10393,0.84461,0.7833,0.84691,0.54682,0.8692,0.72415,0.11291,0.000814503,0.000814503,0.000814503
32,1083.97,0.6521,0.60702,0.10344,0.85893,0.78414,0.84344,0.5512,0.85123,0.72689,0.11205,0.000802938,0.000802938,0.000802938
33,1117.81,0.64669,0.5982,0.10272,0.78425,0.78967,0.83799,0.53737,0.87917,0.77662,0.11305,0.000791122,0.000791122,0.000791122
34,1151.5,0.65083,0.59749,0.10303,0.80403,0.78427,0.83393,0.52871,0.89657,0.77326,0.11517,0.000779069,0.000779069,0.000779069
35,1185.29,0.65056,0.58866,0.10282,0.82639,0.76853,0.82871,0.53999,0.85961,0.7633,0.11225,0.000766789,0.000766789,0.000766789
